n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,local_search_runtime,spectral_runtime,n_fixed_ddgfact,n_fixed_ddgfact_plus,n_fixed_ddgfact_upsilon_bfgs,n_fixed_ddgfact_plus_upsilon_bfgs,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_spec,psi_ddgfact_plus,psi_upsilon_bfgs,lambda_min_upsilon_bfgs,feasibility_slack_upsilon_bfgs,gamma_min_upsilon_bfgs,gamma_max_upsilon_bfgs,theta_norm_upsilon_bfgs
63,31,31,0.43203889165150144,0.19617307754958802,0.06766688984245661,5.707024608991219,0.1189635,0.0643639,240.3592777,2.9214951,0.0001327,0.0,7.0,0.0,0.0,-65.76386876797937,-65.33182987632787,-65.56769569042979,-65.69620187813692,-60.056844158988156,0.031745640422217065,0.04309592761014097,0.043096027610140974,1.0000000000287557e-7,0.7566322440863817,2.2658919999399325,1.5807480868919221
63,32,32,0.43129871564789823,0.18972409589341055,0.06914711603553769,5.561498560363788,0.1332903,0.0691504,237.253694,3.4472803,0.0002755,0.0,7.0,0.0,0.0,-68.22157766283541,-67.79027894718752,-68.031853566942,-68.15243054679988,-62.66007910247163,0.031745640422217065,0.04302286638859586,0.04302296638859586,1.0000000000287557e-7,0.7615144829301076,1.8993711746714221,1.4585385927553056
63,33,33,0.4337446726810441,0.18754595969640775,0.07417551507639075,5.416927451888824,0.134424,0.0626215,435.1280425,4.3662525,0.0006133,0.0,7.0,0.0,0.0,-70.70206339775397,-70.26831872507293,-70.51451743805757,-70.62788788267758,-65.28513594586515,0.031745640422217065,0.042409532560955435,0.04240963256095544,1.0000000000287557e-7,0.7530060655794878,2.063359423151,1.6161716271085942
63,34,34,0.4304847757305055,0.17849327443714458,0.06913572825600056,5.263532639123241,0.1871512,0.0602095,219.9814696,4.4987755,0.000156,0.0,7.0,0.0,0.0,-73.19554911282789,-72.76506433709739,-73.01705583839075,-73.12641338457189,-67.93201647370465,0.031745640422217065,0.04166725244690733,0.041667352446907335,1.0000000000287557e-7,0.7840540216703508,1.9522174958980196,1.4747579498188308
63,35,35,0.4471597495986259,0.18851906653831918,0.0698180349142774,5.133173907091177,0.1149513,0.0608052,196.9946161,4.6426801,0.0001359,0.0,7.0,0.0,0.0,-75.72703249149569,-75.27987274189707,-75.53851342495737,-75.65721445658141,-70.59385858440451,0.031745640422217065,0.04233427257745167,0.04233437257745167,1.0000000000287557e-7,0.7235073416020782,1.774269900625421,1.4140301518055172
63,36,36,0.45875194940151687,0.1913004654042254,0.057685636497438963,4.978860966916514,0.1357475,0.0628803,162.9989488,5.2806433,0.0003237,0.0,7.0,0.0,0.0,-78.27069239749403,-77.81194044809251,-78.0793919320898,-78.21300676099659,-73.29183143057752,0.031745640422217065,0.04267417258903457,0.04267427258903457,1.0000000000287557e-7,0.7298185621386853,1.6714827422481067,1.3365630911916635
63,37,37,0.4825513360954403,0.20377253032921772,0.059289651965983126,4.830785684994268,0.2234844,0.0638472,498.5103382,5.2240144,0.0001816,0.0,5.0,0.0,0.0,-80.84449200387968,-80.36194066778424,-80.64071947355046,-80.7852023519137,-76.01370631888541,0.031745640422217065,0.042225667905099094,0.0422257679050991,1.0000000000287557e-7,0.7250439957504189,1.6147648163494162,1.2706323904700807
63,38,38,0.5022196110075754,0.21085838759981357,0.05934046977769469,4.649336220143837,0.1060921,0.0538542,390.2003309,5.3552421,0.000618,0.0,5.0,0.0,0.0,-83.43404547630749,-82.93182586529991,-83.22318708870768,-83.3747050065298,-78.78470925616365,0.031745640422217065,0.04159150079631154,0.041591600796311544,1.0000000000287557e-7,0.7557998977820674,1.776588827554375,1.330216799312027
63,39,39,0.5033841168014561,0.19841534816067963,0.043048292115727804,4.4648195415221466,0.098211,0.0537983,339.7593597,4.9061731,0.0003219,0.0,5.0,0.0,0.0,-86.0251654586613,-85.52178134185985,-85.82675011050063,-85.98211716654558,-81.56034591713916,0.031745640422217065,0.04111903635849627,0.041119136358496275,1.0000000000287557e-7,0.7455229371953462,1.8294111967681503,1.322465053952475
63,40,40,0.4975465994934467,0.1779593771687047,0.023182535900062362,4.281682975905099,0.1004802,0.0533438,405.1241036,5.5608892,0.0001362,0.0,6.0,0.0,0.0,-88.62988883321763,-88.13234223372419,-88.45192945604893,-88.60670629731757,-84.34820585731254,0.031745640422217065,0.04030791594514602,0.04030801594514602,1.0000000000287557e-7,0.7396390039398995,1.9558854902686273,1.3523703290847569
63,41,41,0.5096740619993341,0.17715193373271632,0.02647947406410367,4.124766718630738,0.2547529,0.0470978,291.4278507,5.4007063,0.0006056,0.0,8.0,0.0,0.0,-91.27527950736152,-90.76560544536218,-91.0981275736288,-91.24880003329741,-87.15051278873078,0.031745640422217065,0.0404301394631704,0.040430239463170405,1.0000000000287557e-7,0.7583438299758886,1.7431806265571321,1.213232058253001
63,42,42,0.5098430308063939,0.1662884290492741,0.01763229296224722,3.9530477239989352,0.0957939,0.0507692,156.1393268,5.941621,0.0003042,0.0,9.0,0.0,0.0,-93.93134102166155,-93.42149799085516,-93.76505259261228,-93.9137087286993,-89.97829329766262,0.031745640422217065,0.04030938391052842,0.040309483910528424,1.0000000000287557e-7,0.7734888773868066,1.592902548294719,1.1379512597758619
63,43,43,0.5444780421548217,0.19145737295852427,0.04265751183052657,3.8277374915430755,0.0839018,0.052386,432.5035353,4.4632755,0.0001453,0.0,6.0,0.0,0.0,-96.64493497606391,-96.10045693390909,-96.45347760310538,-96.60227746423338,-92.81719748452083,0.031745640422217065,0.03985800155289069,0.03985810155289069,1.0000000000287557e-7,0.7687056594767003,1.6610124260153714,1.172764354103463
63,44,44,0.5753020925786387,0.21627724338630117,0.06361040481453983,3.6907366766189824,0.0803729,0.0482502,186.2809521,4.1339474,0.0006317,0.0,3.0,0.0,0.0,-99.37848700367427,-98.80318491109563,-99.16220976028796,-99.31487659885973,-95.68775032705528,0.031745640422217065,0.03990973834911371,0.03990983834911371,1.0000000000287557e-7,0.7509793877504811,1.6590055161218822,1.0672936615706705
63,45,45,0.5805421223898719,0.22015115176976963,0.05995165708370109,3.5006956090402497,0.0685559,0.0454754,76.4877359,4.1736033,0.0001504,0.0,4.0,0.0,0.0,-102.1123424036535,-101.53180028126363,-101.89219125188373,-102.0523907465698,-98.61164679461325,0.031745640422217065,0.04021167049626306,0.040211770496263066,1.0000000000287557e-7,0.7534216259641484,1.5528927523373393,0.9805258063637236
63,46,46,0.5731954947247715,0.21665398602640096,0.054265291589914,3.3156137923873956,0.0998752,0.0563607,70.7279864,4.857268,0.0001405,0.0,4.0,0.0,0.0,-104.86027819974242,-104.28708270501765,-104.64362421371602,-104.80601290815251,-101.54466440735503,0.031745640422217065,0.03948592828445183,0.03948602828445183,1.0000000000287557e-7,0.7689154626714959,1.5470446637823494,1.062725467707143
63,47,47,0.5483162130873751,0.19957166064926923,0.041015116477026936,3.1178257126394584,0.0988141,0.0397566,134.2491596,4.5627382,0.0006159,0.0,5.0,0.0,0.0,-107.61653617787495,-107.06821996478757,-107.41696451722568,-107.57552106139792,-104.49871046523549,0.031745640422217065,0.03885272687166873,0.03885282687166873,1.0000000000287557e-7,0.7836528586629056,1.5980581515732653,1.1018016061297697
63,48,48,0.5135769942417028,0.17259672853198538,0.02469930304580714,2.924927466250793,0.0768746,0.0389264,80.9518248,3.8443047,0.0005338,0.0,15.0,0.0,0.0,-110.38656297220764,-109.87298597796594,-110.21396624367566,-110.36186366916183,-107.46163550595685,0.031745640422217065,0.038877820177994404,0.03887792017799441,1.0000000000287557e-7,0.747667160084348,1.5895851435773167,1.0314847212446032
63,49,49,0.4906353062011988,0.16005849519532944,0.02936489628437755,2.718625300332448,0.0745382,0.0331461,85.7593326,2.8557971,0.0006103,0.0,18.0,0.0,0.0,-113.19329845415982,-112.70266314795862,-113.03323995896449,-113.16393355787544,-110.47467315382737,0.031745640422217065,0.03905776044460722,0.039057860444607226,1.0000000000287557e-7,0.752335184591825,1.5205390504924001,0.9304787233106999
63,50,50,0.4446690368061468,0.12932249821973585,0.024435510706396713,2.5095961445550046,0.0763268,0.0458431,43.420402,2.4190336,0.0006279,0.0,26.0,0.0,0.0,-116.00277224697476,-115.55810321016861,-115.87344974875502,-115.97833673626836,-113.49317610241975,0.031745640422217065,0.038705472473719305,0.03870557247371931,1.0000000000287557e-7,0.7759607311671618,1.52038543125342,0.916739963667227
